indicators_harmonized,change in indic name,ga,sua,va,ias,geo,ipcc,km_gbf,sdg,cites,cms,iccwc,ramsar,unccd,usage,ipbes,policy,indic,indic_ext,var_ext,ILK_ext,Categories,Categories_2,Subcategories,Subcategories_2
percentage of abroad land use footprint,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
percentage of agricultural and urban areas,,1,,,,,,,,,,,,,1,1,,,1,,,Human assets,,Information on society and socio-economics,
extraction of non-human materials,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
alien species,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,Invasive alien species,
biomass of prey fish,,1,,,,,,,,,,,,,1,1,,,,1,,biodiversity,,State of biodiversity,
terrestrial vegetation biomass,,1,,,,,,,,,,,,,1,1,,,,1,,biodiversity,,State of biodiversity,
extent of forests,,1,,,,,,,,,,,,,1,1,,,,1,,ecosystems,,Change in ecosystems,
extinction risk,,1,,,,,,,,,,,,,1,1,,,,1,,biodiversity,biodiversity,Change in biodiversity,Species conservation
"time needed to harvest resources, distance travelled to harvest resources",,1,,,,,,,,,,,,,1,1,,,,1,1,Ecosystem services,,Nature contribution,
culturally salient species,,1,,,,,,,,,,,,,1,1,,,,1,1,Knowledge systems,,ILK,
native newcomer species arrive,,1,,,,,,,,,,,,,1,1,,,,1,1,Knowledge systems,,ILK,
new pests and invasive alien species colonize,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Invasive alien species,
forests and grazing lands loss,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Land conversion,
remnant ecosystems degrade,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Land conversion,
health condition and body size of wild animals decrease,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,Change in biodiversity,
tropical forest-monocrop conversions,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Land conversion,
expansion of settlements,,1,,,,,,,,,,,,,1,1,,,,1,1,Human assets,,Infrastructure (build-up area),
discontinued traditional land-management practices,,1,,,,,,,,,,,,,1,1,,,,1,1,Knowledge systems,,ILK,
droughts,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Natural drivers,
increasingly unpredictable annual distribution of rainfall,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Natural drivers,
arrival of new native and alien species,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Invasive alien species,
changing range of wild species,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,Change in biodiversity,
floods,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Natural drivers,
overexploitation of resources by outsiders and locals,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
total richness of endemic species,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
range-size rarity,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
endemism richness,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
weighted endemisms,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
vegetation biomass,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
land not cultivated or urban (global),,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
remanining primary vegetations,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
mean annual change in above-ground biomass,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,Change in ecosystems,
terrestrial c sequestration,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
terrestrial net primary production,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
evapotranspiration,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,Abiotic conditions,
local species richness,,1,,,1,,,,,,,,,,2,1,,,1,1,,biodiversity,,State of biodiversity,
tropical forest bii (indigenous lands),,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
tropical forest bii,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
tropical forest bii (hotspots),,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
functional intactness (madingley),,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
material ncp,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
biotime species richness indicator,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
predicts species-richness indicator,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
human footprint,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
trends of populations of palatable or unpalatable species,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,Change in biodiversity,
time needed or distance travelled to harvest resources,,1,,,,,,,,,,,,,1,1,,,,1,1,Human well-being,,Healthy living conditions,
native newcomer species,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,Invasive alien species,
opening up of forest canopy,,1,,,,,,,,,,,,,1,1,,,,1,1,Direct drivers,,Land conversion,
"less biomass, more annuals and shrubs on pastures",,1,,,,,,,,,,,,,1,1,,,,1,1,ecosystems,,Change in ecosystems,
proportion of unpalatable plants on rangelands,,1,,,,,,,,,,,,,1,1,,,,1,1,ecosystems,,State of ecosystems (configuration),
condition and size of wild animals,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,State of biodiversity,
percentage of live coral cover,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
adverse changes in woody or shrubby vegetation,,1,,,,,,,,,,,,,1,1,,,,1,,ecosystems,,Change in ecosystems,
adverse changes of unpalatable species,,1,,,,,,,,,,,,,1,1,,,,1,,biodiversity,,Change in biodiversity,
global cover of mangroves,,1,,,,,,,,,,,,,1,1,,,,1,,ecosystems,,State of ecosystems (coverage),
hallow coral reefs,,1,,,,,,,,,,,,,1,1,,,,1,,ecosystems,,State of ecosystems,
severe global bleaching events,,1,,,,,,,,,,,,,1,1,,,,1,,ecosystems,Direct drivers,Change in ecosystems,Climate change
species used for medicine,,1,,,,,,,,,,,,,1,1,,,1,,1,Knowledge systems,,ILK,
crops and their dietary roles,,1,,,,,,,,,,,,,1,1,,,1,,1,Ecosystem services,Human well-being,Nature contribution,Healthy living conditions
forest and its role in protecting water sources,,1,,,,,,,,,,,,,1,1,,,1,,1,Ecosystem services,,Nature contribution,
"behavior of animals with importance as food, changes in crop phenology",,1,,,,,,,,,,,,,1,1,,,1,,1,Ecosystem services,biodiversity,Nature contribution,Change in biodiversity
development of crop varieties or landraces,,1,,,,,,,,,,,,,1,1,,,1,,1,Direct drivers,,Land conversion,
visitation to national parks,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Recreation,
visitation to urban green spaces,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Recreation,
connection to land,,1,,,,,,,,,,,,,1,1,,,1,,1,Knowledge systems,,Specific information on ILK and IPLC,
connection to sea,,1,,,,,,,,,,,,,1,1,,,1,,1,Knowledge systems,,Specific information on ILK and IPLC,
bare area,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
area of floodplain wetlands,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
net primary productivity in forests and on cultivated land,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
cultivated area,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
above-ground biomass in forests,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
medicinal species as a fraction of total vascular plant species,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,Knowledge systems,State of biodiversity,ILK
geographical overlay of linguistic diversity and biodiversity,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,Knowledge systems,Information on society and socio-economics,Information on biodiversity
rate of land use change,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,ecosystems,Land conversion,Change in ecosystems
population size,,1,1,,,,,,,,,,,,2,1,,,1,1,1,biodiversity,,State of biodiversity,
spatial distribution,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,State of biodiversity,
animal behavior,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,State of biodiversity,
phenology of economically and/or culturally important wild plant and animal species,,1,,,,,,,,,,,,,1,1,,,,1,1,Ecosystem services,,Nature contribution,
distance travelled to reach a resource,,1,,,,,,,,,,,,,1,1,,,,1,1,Human well-being,,Healthy living conditions,
health of the soil,,1,,,,,,,,,,,,,1,1,,,,1,1,ecosystems,,Abiotic conditions,
density of preferred and palatable species,,1,,,,,,,,,,,,,1,1,,,,1,1,biodiversity,,State of biodiversity,
health of the forest,,1,,,,,,,,,,,,,1,1,,,1,,1,ecosystems,,State of ecosystems,
encounter rates with supernatural forest dwelling entities,,1,,,,,,,,,,,,,1,1,,,1,,1,Knowledge systems,,ILK,
extent of ecosystems that filter or add constituent components to water,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
reduced concentration of pollutants in water,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
health associated with intake of pollinator dependent foods,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,Direct drivers,Healthy living conditions,Pollution
natural habitat in agriculture pollen deposition,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
reduced concentrations of pm2.5,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
avoided morbidity and premature mortality from air pollution,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,Direct drivers,Healthy living conditions,Pollution
avoided costs from air pollution,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,Direct drivers,Legislation/governance,Pollution
reduced concentrations of greenhouse gases in the atmosphere,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
reduction in climate related costs,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Legislation/governance,
land and ocean carbon sinks,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
reduced ocean acidification,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Pollution,
seafood availability due to ocean acidification,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,Direct drivers,Nature contribution,Pollution
extent of marine calcification benefits from coral reefs,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
soil quality impact on crop production,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,Abiotic conditions,
ability of ecosystems to absorb and buffer hazards,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
reduced incidence and severity of hazards,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
reduced morbidity and premature mortality due to natural hazards,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
reduced property loss due to natural hazards,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
natural habitat in agriculture,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
reduced food spoilage,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
reduced net farm income loss from pests and diseases,,1,,,,,,,,,,,,,1,1,,,1,,,Human assets,,Income,
diversity of competent hosts of vector-borne diseases,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,Direct drivers,Genetic diversity,(Infectious) diseases
reduced risk of disease transmission,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,(Infectious) diseases,
reduced incidence of infectious diseases,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,(Infectious) diseases,
extent of agricultural land,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
production of fuelwood,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
energy security from bio-energy and fuelwood,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
food produced (kcal),,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
food quality (nutrients),,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,Human assets,Healthy living conditions,Coverage of basic needs
reduced malnutrition,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
marine stocks,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
reduced hunger,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
seafood produced (kcal),,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
agriculture-based materials produced (tons),,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
employment in materials production,,1,,,,,,,,,,,,,1,1,,,1,,,Human assets,Ecosystem services,Income,Nature contribution
timber production (m3),,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
revenue from forestry,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Specific monetary valuation of nature contribution,
fraction of species known to be medicinal,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,ILK,
natural medicinal products and manufactured bio-derived medicines,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,ILK,
improved health from natural medicines or bio-derived medicines,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
phylogenetic diversity,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,Genetic diversity,
gene bank accession and available genetic resources,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,Genetic resources,
proximity of people and nature,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Specific information on human-nature relationship,
ideas and products mimicking or inspired by nature,,1,,,,,,,,,,,,,1,1,,,1,,,Knowledge systems,,Specific information on human-nature relationship,
economic value of bio-inspired production,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Specific monetary valuation of nature contribution,
diversity of life from which to learn,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,Knowledge systems,State of biodiversity,Information on biodiversity
"visitation rates to natural terrestrial, coastal, and marine areas",,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Recreation,
"increased awareness, care, mental health, cultural security, life satisfaction - urban",,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,Human well-being,Healthy living conditions,Wellness
"increased awareness, care, mental health, cultural security, life satisfaction - rural and iplc",,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,Human well-being,Healthy living conditions,Wellness
"daily exposure natural terrestrial, coastal and marine areas",,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
stability of land use and land cover,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems (coverage),
identity value - urban,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Wellness,
identity value - rural and iplc,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Wellness,
visitation to natural areas,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Recreation,
percentage of population living in dense urban areas,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Healthy living conditions,
historic land use change since 1970,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Land conversion,
leaf surface area,,1,,,,,,,,,,,,,1,1,,,,1,,biodiversity,,State of biodiversity,
net carbon sequestration,carbon sequestration,1,,,,,,,,,,,,,1,1,,,,1,,Ecosystem services,,Nature contribution,
transfer of water to the atmosphere,,1,,,,,,,,,,,,,1,1,,,,1,,Ecosystem services,,Nature contribution,
biotic productivity,,1,,,,,,,,,,,,,1,1,,,,1,,Ecosystem services,,Nature contribution,
extent of protected and intact habitat globally,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems (integrity),
correlation between high cultural diversity and areas of high biodiversity,,1,,,,,,,,,,,,,1,1,,,,1,,Knowledge systems,,Specific information on human-nature relationship,
population extinctions,,1,,,,,,,,,,,,,1,1,,,,1,,biodiversity,,Change in biodiversity,
range contractions,,1,,,,,,,,,,,,,1,1,,,,1,,biodiversity,,Change in biodiversity,
biomass abundance,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
production,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
species distribution area and shift,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,biodiversity,State of biodiversity,Change in biodiversity
habitat area and quality,,1,,,,,,,,,,,,,1,1,,,1,,,ecosystems,,State of ecosystems,
organisms` size or growth,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
reproduction rate,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
"pest, invasive or harmful species",,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Invasive alien species,
c pool,,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
global sclae ecosystem carbon storage,global scale ecosystem carbon storage,1,,,,,,,,,,,,,1,1,,,1,,,Ecosystem services,,Nature contribution,
adaptive capacity index (aci),,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,State of biodiversity,
oecd better life index,,1,,,,,,,,,,,,,1,1,,,1,,,Human well-being,,Wellness,
sustainable development goals (sdg) index,,1,,,,,,,,,,,,,1,1,,,1,,,Governance,,Nature-based legislation,
cumulative human impacts on marine ecosystems,,1,,,,,,,,,,,,,1,1,,,1,,,Direct drivers,,Specific mention of over-exploitation and unsustainable use of species/ecosystems,
average conservation status,,1,,,,,,,,,,,,,1,1,,,1,,,biodiversity,,Species conservation,
